"SAMPLING_RESULTS_ID","SAMPLING_EVENTS_ID","CUSTODY_NUMBER","PARAMETER","METHOD","NUMBER_RESULT","REPORTED_RESULT","ALPHA_RESULT","FLAG","UNITS","MDL","RDL","ANALYSIS_DATE","ANALYZED_BY","RECORD_CREATED","PARAMETERS_ID","CONTRACT_LAB_ID","SAMPLE_ID","COLLECT_DATE","REASON","ROWID"
"76","","","Hardness, Total (as CaCO3)","Hardness, Total by SM2340B","294","294","    ","","mg/L","0.5","0.5","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","HIC d","2010-04-05 00:00:00","","{28C01074-3B29-44D4-86D3-A2C46367A1F5}"
"79","","","Hardness, Total (as CaCO3)","Hardness, Total by SM2340B","225","225","    ","","mg/L","0.5","0.5","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a S","2010-04-05 00:00:00","","{F8164AAC-23B0-4EED-B7A0-B23F9DDB5D6D}"
"80","","","Hardness, Total (as CaCO3)","Hardness, Total by SM2340B","229","229","    ","","mg/L","0.5","0.5","2010-04-12 00:00:00","pablo.davila","2010-05-11 00:00:00","","DAT","PAR a SD","2010-04-05 00:00:00","","{B51E0273-096C-4CFA-B548-3F5AFEF848E1}"
"81","","","MBAS Surfactants","MBAS Surfactants by SM5540C","0","0","    ","U","mg/L","0.043","0.1","2010-04-06 00:00:00","pablo.davila","2010-05-11 00:00:00","","ARM","PAR a","2010-04-05 00:00:00","","{736CFA8E-4B1A-4D85-AE6B-BB02D943200D}"
"82","","","MBAS Surfactants","MBAS Surfactants by SM5540C","0","0","    ","U","mg/L","0.043","0.1","2010-04-06 00:00:00","pablo.davila","2010-05-11 00:00:00","","ARM","HIC d","2010-04-05 00:00:00","","{AAD690C9-2AA0-4F33-8910-C091E4909E58}"
"84","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","0",".101","    ","","mg/L","0.028","0.1","2010-04-07 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","PAR a","2010-04-05 00:00:00","","{AA35FD33-A968-4C27-BAB7-73C64ECBA8BB}"
"86","","","MBAS Surfactants","MBAS Surfactants by SM5540C","1","1.05","    ","","mg/L","0.043","0.1","2010-04-06 00:00:00","pablo.davila","2010-05-11 00:00:00","","ARM","S7W 1 S","2010-04-05 00:00:00","","{528F0ED6-D28D-4A60-BCF2-1290BAFF9043}"
"87","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","1",".983","    ","","mg/L","0.028","0.1","2010-04-07 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","Site 1 S","2010-04-01 00:00:00","","{BC8B4034-4335-4C3C-AF80-1D57AC15250C}"
"89","","","Nitrate-Nitrite","Nitrogen, Nitrate-Nitrite by E353.3","0","0","    ","","mg/L","0.028","0.1","2010-04-07 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOH","001 S","2010-04-04 00:00:00","","{C3F35A9E-E736-499B-AE6F-EFEC25F2A5AE}"
"90","","","Nitrogen, Ammonia (as N)","Nitrogen, Ammonia by EPA 350.3","1",".657","    ","","mg/L","0.079","0.1","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOR","HIC d","2010-04-05 00:00:00","","{A31773E6-E1F8-4D6E-9060-2FC561FF28B5}"
"91","","","Nitrogen, Ammonia (as N)","Nitrogen, Ammonia by EPA 350.3","0",".257","    ","","mg/L","0.079","0.1","2010-04-08 00:00:00","pablo.davila","2010-05-11 00:00:00","","JOR","ela a","2010-04-05 00:00:00","","{215E2775-DA08-4DEC-BF92-CD1BE07761CE}"
